,model_1,model_2,winrate
22,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00007_7_clip_param-0.2000-gamma-0.9900-train_batch_size-10000_2024-04-21_23-37-22,0.5
23,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00008_8_clip_param-0.3000-gamma-0.9900-train_batch_size-10000_2024-04-22_00-04-34,0.62
24,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00000_0_clip_param-0.1000-entropy_coeff-0.0100-gamma-0.9500_2024-04-22_20-57-30,0.47
25,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00001_1_clip_param-0.2000-entropy_coeff-0.0100-gamma-0.9500_2024-04-22_21-45-33,0.5
26,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00002_2_clip_param-0.3000-entropy_coeff-0.0100-gamma-0.9500_2024-04-22_22-35-12,0.38
27,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00003_3_clip_param-0.1000-entropy_coeff-0.0010-gamma-0.9500_2024-04-22_23-24-59,0.48
28,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00004_4_clip_param-0.2000-entropy_coeff-0.0010-gamma-0.9500_2024-04-23_00-13-31,0.43
29,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00005_5_clip_param-0.3000-entropy_coeff-0.0010-gamma-0.9500_2024-04-23_01-01-54,0.39
30,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00006_6_clip_param-0.1000-entropy_coeff-0.0001-gamma-0.9500_2024-04-23_01-49-37,0.54
31,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00007_7_clip_param-0.2000-entropy_coeff-0.0001-gamma-0.9500_2024-04-23_02-37-05,0.54
32,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00008_8_clip_param-0.3000-entropy_coeff-0.0001-gamma-0.9500_2024-04-23_03-24-32,0.46
33,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00002_2_clip_param-0.3000-gamma-0.9000-train_batch_size-10000_2024-04-21_21-28-22,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00003_3_clip_param-0.1000-gamma-0.9500-train_batch_size-10000_2024-04-21_21-54-16,0.51
34,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00002_2_clip_param-0.3000-gamma-0.9000-train_batch_size-10000_2024-04-21_21-28-22,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00004_4_clip_param-0.2000-gamma-0.9500-train_batch_size-10000_2024-04-21_22-20-05,0.46
